index,zone,cluster
A26,A26,12
A27,A27,12
A28,A28,12
A29,A29,12
A30,A30,12
A31,A31,12
A32,A32,12
A33,A33,12
A34,A34,12
A35,A35,12
A36,A36,13
A37,A37,0
A38,A38,12
A39,A39,5
A40,A40,12
A41,A41,12
A46,A46,12
A47,A47,12
A48,A48,12
A49,A49,12
A50,A50,12
BB25,BB25,12
BB26,BB26,12
BB27,BB27,12
BB28,BB28,12
BB29,BB29,12
BB30,BB30,12
BB31,BB31,12
BB32,BB32,12
BB33,BB33,8
BB34,BB34,12
BB35,BB35,17
BB36,BB36,12
BB37,BB37,12
BB38,BB38,12
BB39,BB39,12
BB40,BB40,12
BB41,BB41,3
BB46,BB46,12
BB47,BB47,12
BB48,BB48,12
BB49,BB49,12
BB50,BB50,12
BB54,BB54,12
CC25,CC25,12
CC26,CC26,12
CC27,CC27,12
CC28,CC28,12
CC29,CC29,12
CC30,CC30,12
CC31,CC31,12
CC32,CC32,12
CC33,CC33,12
CC34,CC34,12
CC35,CC35,3
CC36,CC36,12
CC37,CC37,14
CC38,CC38,12
CC39,CC39,17
CC40,CC40,8
CC41,CC41,12
CC42,CC42,7
CC45,CC45,12
CC46,CC46,12
CC47,CC47,12
CC48,CC48,12
CC49,CC49,12
CC50,CC50,12
DD24,DD24,12
DD25,DD25,12
DD27,DD27,12
DD29,DD29,12
DD30,DD30,12
DD31,DD31,12
DD32,DD32,6
DD33,DD33,12
DD34,DD34,18
DD35,DD35,12
DD36,DD36,11
DD39,DD39,12
DD40,DD40,10
DD41,DD41,12
DD43,DD43,12
DD44,DD44,11
DD45,DD45,12
DD46,DD46,12
DD47,DD47,12
DD48,DD48,12
DD49,DD49,12
DD50,DD50,12
EE26,EE26,12
EE28,EE28,12
EE29,EE29,12
EE30,EE30,12
EE31,EE31,12
EE32,EE32,12
EE33,EE33,12
EE34,EE34,19
EE35,EE35,12
EE36,EE36,12
EE38,EE38,12
EE39,EE39,16
EE40,EE40,12
EE41,EE41,12
EE42,EE42,12
EE43,EE43,12
EE44,EE44,2
EE45,EE45,12
EE46,EE46,9
EE47,EE47,12
EE48,EE48,12
EE49,EE49,12
EE50,EE50,12
EE51,EE51,12
FF26,FF26,12
FF28,FF28,12
FF29,FF29,12
FF30,FF30,12
FF31,FF31,12
FF32,FF32,12
FF33,FF33,12
FF34,FF34,12
FF35,FF35,12
FF36,FF36,3
FF37,FF37,12
FF38,FF38,12
FF39,FF39,12
FF40,FF40,9
FF41,FF41,12
FF42,FF42,12
FF43,FF43,12
FF44,FF44,7
FF45,FF45,12
FF46,FF46,10
FF47,FF47,12
FF48,FF48,12
FF49,FF49,12
FF50,FF50,12
GG26,GG26,12
GG27,GG27,12
GG28,GG28,12
GG29,GG29,12
GG30,GG30,12
GG31,GG31,12
GG32,GG32,12
GG33,GG33,17
GG34,GG34,12
GG35,GG35,12
GG36,GG36,5
GG37,GG37,12
GG38,GG38,12
GG39,GG39,12
GG40,GG40,15
GG41,GG41,12
GG42,GG42,6
GG43,GG43,12
GG44,GG44,12
GG45,GG45,4
GG46,GG46,12
GG47,GG47,12
GG48,GG48,12
GG49,GG49,12
HH26,HH26,12
HH27,HH27,12
HH28,HH28,12
HH29,HH29,12
HH30,HH30,12
HH31,HH31,12
HH32,HH32,12
HH33,HH33,12
HH34,HH34,12
HH35,HH35,12
HH36,HH36,12
HH37,HH37,12
HH38,HH38,2
HH39,HH39,12
HH40,HH40,12
HH41,HH41,4
HH42,HH42,0
HH43,HH43,12
HH44,HH44,12
HH45,HH45,12
HH48,HH48,12
II23,II23,12
II28,II28,12
II29,II29,12
II30,II30,12
II31,II31,12
II32,II32,12
II33,II33,12
II34,II34,12
II35,II35,12
II36,II36,12
II37,II37,12
II38,II38,12
II39,II39,12
II40,II40,12
II41,II41,12
II42,II42,12
II43,II43,12
II44,II44,12
JJ22,JJ22,12
JJ24,JJ24,12
JJ27,JJ27,12
JJ28,JJ28,12
JJ29,JJ29,12
JJ30,JJ30,12
JJ31,JJ31,12
JJ32,JJ32,12
JJ33,JJ33,12
JJ34,JJ34,12
JJ35,JJ35,12
JJ36,JJ36,12
JJ37,JJ37,12
JJ38,JJ38,12
JJ39,JJ39,12
JJ43,JJ43,12
KK28,KK28,12
KK29,KK29,12
KK30,KK30,12
KK31,KK31,12
KK32,KK32,12
KK33,KK33,12
KK34,KK34,12
KK35,KK35,12
KK37,KK37,12
KK39,KK39,12
LL29,LL29,12
LL30,LL30,12
LL31,LL31,12
LL32,LL32,12
LL33,LL33,12
LL34,LL34,12
M38,M38,12
MM30,MM30,12
MM31,MM31,12
MM32,MM32,12
MM33,MM33,12
MM40,MM40,12
NN29,NN29,12
NN30,NN30,12
NN31,NN31,12
NN32,NN32,12
OO24,OO24,12
OO28,OO28,12
OO29,OO29,12
OO30,OO30,12
OO31,OO31,12
OO32,OO32,12
PP26,PP26,12
PP27,PP27,12
PP29,PP29,12
PP30,PP30,12
QQ25,QQ25,12
QQ27,QQ27,12
QQ28,QQ28,12
QQ29,QQ29,12
RR24,RR24,12
RR25,RR25,12
RR26,RR26,12
RR27,RR27,12
S33,S33,12
SS20,SS20,12
T30,T30,12
T31,T31,12
TT22,TT22,12
TT23,TT23,12
U24,U24,12
U26,U26,12
U32,U32,12
U39,U39,12
U53,U53,12
V25,V25,12
V28,V28,12
V29,V29,12
V30,V30,12
V31,V31,12
V32,V32,12
V39,V39,12
V49,V49,12
W22,W22,12
W24,W24,12
W25,W25,12
W28,W28,12
W29,W29,12
W30,W30,12
W31,W31,12
W32,W32,12
W33,W33,12
W34,W34,12
W38,W38,12
W39,W39,12
W40,W40,12
W42,W42,12
W43,W43,12
W48,W48,12
W49,W49,12
X21,X21,12
X23,X23,12
X25,X25,12
X26,X26,12
X27,X27,12
X28,X28,12
X29,X29,12
X30,X30,12
X31,X31,12
X32,X32,12
X33,X33,12
X34,X34,12
X37,X37,12
X38,X38,12
X39,X39,12
X40,X40,12
X41,X41,12
X42,X42,12
X45,X45,12
X46,X46,12
X47,X47,12
X48,X48,12
X49,X49,12
X50,X50,12
Y25,Y25,12
Y26,Y26,12
Y27,Y27,12
Y28,Y28,12
Y29,Y29,12
Y30,Y30,12
Y31,Y31,12
Y32,Y32,12
Y33,Y33,12
Y34,Y34,12
Y35,Y35,12
Y36,Y36,12
Y37,Y37,17
Y38,Y38,12
Y39,Y39,12
Y40,Y40,1
Y41,Y41,12
Y47,Y47,12
Y48,Y48,12
Y49,Y49,12
Y50,Y50,12
Y51,Y51,12
Z23,Z23,12
Z25,Z25,12
Z26,Z26,12
Z27,Z27,12
Z28,Z28,12
Z29,Z29,12
Z30,Z30,12
Z31,Z31,12
Z32,Z32,12
Z33,Z33,12
Z34,Z34,12
Z35,Z35,12
Z36,Z36,12
Z37,Z37,12
Z38,Z38,12
Z39,Z39,12
Z40,Z40,12
Z41,Z41,12
Z46,Z46,12
Z47,Z47,12
Z48,Z48,12
Z49,Z49,12
Z50,Z50,12
Z51,Z51,12
